PersonId,MetricDate,Meeting hours,Meetings,Summarize chat actions taken using Copilot in Teams,Total chat conversations summarized by Copilot in Teams,Compose chat message actions taken using Copilot in Teams,Copilot actions taken in Copilot chat (work),Copilot actions taken in Excel,Copilot actions taken in Outlook,Copilot actions taken in Powerpoint,Copilot actions taken in Teams,Copilot actions taken in Word,Days of active Copilot usage in Excel,Days of active Copilot usage in Loop,Days of active Copilot usage in OneNote,Days of active Copilot usage in Outlook,Days of active Copilot usage in Powerpoint,Days of active Copilot usage in Teams,Days of active Copilot usage in Word,Days of active Copilot chat (work) usage,Copilot chat (work) prompts submitted,Copilot chat (work) enabled days,Copilot enabled days for Power Platform connectors,Copilot enabled days for Productivity App,Copilot enabled days for Intelligent Search,Copilot enabled days for Teams,Draft Word document actions taken using Copilot,Summarize Word document actions taken using Copilot in Word,Email coaching actions taken using Copilot,Generate email draft actions taken using Copilot in Outlook,Summarize email thread actions taken using Copilot in Outlook,Total emails sent using Copilot in Outlook,Excel analysis actions taken using Copilot,Excel formatting actions taken using Copilot,Create Excel formula actions taken using Copilot,Meeting hours summarized by Copilot in Teams,Summarize meeting actions taken using Copilot in Teams,Total meetings summarized by Copilot in Teams,Summarize presentation actions taken using Copilot in PowerPoint,Create presentation actions taken using Copilot,Rewrite text actions taken using Copilot in Word,Total Copilot active days,Total Copilot enabled days,FunctionType,Organization,WeekendDays,IsActive
8194bd05-0e6b-3436-8b29-e5b56f74d5b3,5/7/2023,9.75,11.833333,2,6,7,6,3,0,6,8,0,4,8,10,2,10,8,4,2,9,3,10,5,6,9,6,8,9,2,4,7,4,4,1,1,10,8,6,7,7,1,5,R_and_D,Product,"[SUNDAY, SATURDAY]",TRUE
eb8e9c1e-8208-3190-893b-d24a558e39b5,5/7/2023,11.75,17.125,9,2,3,8,5,9,1,7,5,3,5,10,7,1,2,7,7,5,7,5,5,1,2,0,9,1,7,8,9,10,6,7,7,8,10,7,4,2,8,4,Customer_Service,HR,"[SUNDAY, SATURDAY]",TRUE
bd698be7-9fc5-34f9-9a74-3a47d689cde1,5/7/2023,4,8,0,4,0,5,6,3,7,3,7,7,0,9,5,4,2,1,3,8,9,7,5,6,10,8,1,0,7,10,3,1,7,4,5,3,7,2,5,0,9,5,IT,HR,"[SUNDAY, SATURDAY]",TRUE
2308fcd0-fb6c-3482-a880-78c2672e5fb4,5/7/2023,19.75,29.166666,4,5,9,5,8,5,2,6,10,2,6,10,8,1,8,8,5,0,6,0,3,10,2,4,5,0,8,1,3,7,10,1,6,0,7,8,8,2,7,7,G_and_A,Sales and Marketing,"[SUNDAY, SATURDAY]",TRUE
205b152a-0808-3748-9352-e30e3f083ed1,5/7/2023,13.25,18,3,4,10,5,2,9,0,5,10,4,7,5,3,6,7,5,9,2,6,7,8,2,6,8,5,9,0,2,5,4,3,2,0,1,3,5,3,6,10,0,R_and_D,Finance,"[SUNDAY, SATURDAY]",TRUE
f8fda517-19a0-33ce-a003-6e9293950984,5/7/2023,12,19.277779,7,6,6,1,3,7,2,9,10,1,9,1,9,1,10,1,1,6,5,0,4,2,1,0,9,3,9,7,7,9,9,10,5,4,0,2,4,7,4,4,Customer_Service,HR,"[SUNDAY, SATURDAY]",TRUE
0f177661-3f9f-349d-a1f1-7b45ab8bd6f1,5/7/2023,14.25,17.833332,3,8,8,9,1,8,7,4,4,4,6,7,0,10,3,4,1,10,10,0,2,8,0,10,10,6,0,5,7,2,3,5,0,4,9,1,2,3,6,3,Analytics,HR,"[SUNDAY, SATURDAY]",TRUE
834c6414-8fa2-324f-97e8-90b771a9cfe2,5/7/2023,10,11,8,5,2,5,7,4,5,2,9,0,6,8,3,10,7,5,7,7,7,5,9,0,1,1,2,4,9,4,9,4,4,10,10,8,8,1,9,7,1,3,Marketing,Sales and Marketing,"[SUNDAY, SATURDAY]",TRUE
a6777a8d-9832-371a-ad7c-ef8c4695ed46,5/7/2023,12.75,10.277778,3,3,3,8,5,1,10,9,3,0,0,4,9,9,7,4,0,3,9,9,6,4,9,10,6,7,2,2,10,5,5,4,7,7,3,2,3,2,5,4,Marketing,Finance,"[SUNDAY, SATURDAY]",TRUE
815dc3f0-61f6-3a30-a29b-213d7091692e,5/7/2023,54.5,30.822916,8,1,2,7,10,1,10,0,3,1,4,4,7,6,3,5,5,6,4,10,3,0,0,9,5,3,8,8,9,1,5,7,0,0,7,4,9,4,9,3,Analytics,CEO,"[SUNDAY, SATURDAY]",TRUE
d2e1b9c8-645e-363c-af11-51b77f2c769e,5/7/2023,13.5,18.625,6,10,8,5,4,8,2,4,3,4,1,3,5,6,0,5,10,1,3,8,6,4,10,6,4,3,8,8,9,1,2,5,4,1,8,2,4,2,6,8,Sales,HR,"[SUNDAY, SATURDAY]",TRUE
64950e3d-4479-3ff8-86f0-610631f8c8c9,5/7/2023,9.5,11.466667,2,3,2,4,10,6,9,2,0,4,10,7,1,6,1,10,2,6,7,0,0,4,6,9,0,6,8,1,1,5,5,5,9,5,4,2,10,5,5,6,R_and_D,Product,"[SUNDAY, SATURDAY]",TRUE
c75f0422-466b-3386-9d53-ef45db589c37,5/7/2023,34,55.439285,7,1,1,6,4,8,9,4,6,5,2,5,2,1,1,9,5,5,4,8,8,7,0,4,7,5,9,10,10,2,0,3,3,4,10,2,9,3,5,9,Analytics,Finance,"[SUNDAY, SATURDAY]",TRUE
e28fe7e4-56a5-3d52-80ed-3cf702995320,5/7/2023,28.75,56.529762,3,0,2,8,10,8,6,5,6,3,8,6,6,8,6,3,8,8,1,10,0,0,0,7,8,10,6,9,5,7,4,2,1,0,5,3,1,0,4,5,R_and_D,Product,"[SUNDAY, SATURDAY]",TRUE
f48e53a8-00c5-3e78-b5d5-0b996260be9d,5/7/2023,15.75,23.500002,4,7,5,6,0,1,5,4,4,3,1,4,2,3,7,0,5,8,0,5,10,10,2,7,9,9,7,9,0,5,5,7,2,1,0,3,10,2,2,1,Sales,HR,"[SUNDAY, SATURDAY]",TRUE
9bb1bf5a-4d66-3ec6-add4-c23f38be2fe6,5/7/2023,35,15.26637,6,4,3,4,1,4,1,6,0,2,6,9,1,4,10,8,9,9,10,0,2,0,9,3,0,9,8,7,0,4,8,0,10,2,6,3,5,7,9,6,Customer_Service,Finance,"[SUNDAY, SATURDAY]",TRUE
